code,name,credits,description,prerequisites
EDU 300A,"— Reading in the Elementary School, Part A",(1 unit),"Course Description: Principles, procedures, and curriculum materials for teaching of reading. Includes decoding skills with a special emphasis on phonics, comprehension skills, study skills, and reading in the content areas.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 300B,"— Reading in the Elementary Schools, Part B",(3 units),"Course Description: Principles, procedures, and curriculum materials for teaching of reading. Includes decoding skills with a special emphasis on phonics, comprehension skills, study skills, and reading in the content areas.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 301,— Reading in the Secondary School,(4 units),"Course Description: Principles, procedures, and materials to help secondary school teachers improve the reading competence of students. Strategies for enhancing learning through reading and writing in all disciplines, with special attention to linguistically diverse populations.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 301A,— Teaching Literacy in High School Contexts,(2 units),"Course Description: Focuses on secondary school literacy practices and strategies for engaging English-speaking and bilingual students with textual, image, and digital literacies across content areas. Covers reading and writing, the Common Core and Language Proficiency standards.",Prerequisite(s): Consent of instructor. Acceptance in Teacher Credential Program.
EDU 301B,— Teaching Literacy in High School Contexts,(2 units),"Course Description: Focuses on secondary school literacy practices and strategies for engaging English-speaking and bilingual students with textual, image, and digital literacies across content areas. Covers reading and writing, the Common Core and Language Proficiency standards.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 302,— Language Arts in the Elementary School,(2 units),"Course Description: Principles, procedures, and materials for the teaching of oral and written expression, listening skills, drama, and children's literature in elementary schools.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 303,— Art Education in the Elementary School,(2 units),"Course Description: Understanding the principles of education in the arts through participation. Development of concepts, introduction to media, and techniques suitable for the elementary school with emphasis on cross-discipline exploration.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 304A,— Teaching in the Elementary Schools,(2-18 units),Course Description: Supervised teaching in regular classrooms in elementary schools. Selection and organization of teaching materials. Introduction to techniques of diagnosing school achievement of children.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 304B,— Teaching in the Elementary Schools,(2-18 units),"Course Description: Supervised teaching in regular classrooms in elementary schools. Current conceptions of elementary school curriculum, emphasis on contributions from the social, biological, and physical sciences. Emphasis on effective teaching methods.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 304C,— Teaching in the Elementary Schools,(2-18 units),Course Description: Supervised teaching in regular classrooms in elementary schools. Evaluation of teaching materials including instructional technology. Current elementary school curriculum with emphasis on contributions from fine arts and humanities.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 305A,— Teaching in the Middle Grades,(5-8 units),"Course Description: Supervised teaching in regular or special education classrooms in middle grades. Current conceptions of the middle-grades curriculum with emphasis on social, biological, and physical sciences. Effective teaching methods.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 306A,— Teaching in the Secondary Schools,(2-18 units),Course Description: Supervised teaching in regular secondary classrooms. Techniques for classroom communications; constructing goals and objectives; assessment of learning; special problems of adolescents; instructional technology.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 306B,— Teaching in the Secondary Schools,(2-18 units),Course Description: Supervised teaching in regular secondary classrooms. Techniques for classroom communications; constructing goals and objectives; assessment of learning; special problems of adolescents; instructional technology.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 306C,— Teaching in the Secondary Schools,(2-18 units),Course Description: Supervised teaching in regular secondary classrooms. Techniques for classroom communications; constructing goals and objectives; assessment of learning; special problems of adolescents; instructional technology.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 307,— Methods in Elementary Science,(2 units),"Course Description: Principles, procedures, and materials for teaching the biological and physical sciences in elementary schools.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 308,— Methods in Elementary Social Studies,(2 units),"Course Description: Principles, procedures, and materials for teaching history and the social sciences in elementary schools.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 309,"— The Teaching of Mathematics, K-9",(3 units),Course Description: Mathematics curriculum and teaching methods for K-9 reflecting the needs of California's diverse student populations.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 309A,"— The Teaching of Mathematics, K–9, Part A",(1 unit),Course Description: Mathematics curriculum and teaching methods for K–9 reflecting the needs of California's diverse student populations.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 309B,"— The Teaching of Mathematics, K–9, Part B",(2 units),Course Description: Mathematics curriculum and teaching methods for K–9 reflecting the needs of California's diverse student populations.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 310,— Teaching as Reflective Practice,(1 unit),"Course Description: Presentation of issues related to classroom instruction and professional practice, reflections on classroom instruction and other documentation related to student teaching experience.",Prerequisite(s): Consent of instructor.
EDU 320,— Creating Classroom Communities,(1 unit),Course Description: Observation of classrooms at beginning of academic year for first-hand experience with teachers’ approaches to creating communities and setting routines. Candidates are placed with students they will teach during student teaching. Candidates may take on teaching tasks as appropriate.,
EDU 322A,— Pedagogical Preparation for Secondary Social Science  I,(3 units),Course Description: Introduction to teaching methods and curriculum approaches for secondary social science teaching. State and national curriculum standards; application of learning theory to effective instruction; interdisciplinary teaching and active learning approaches; effective teaching strategies for English learners.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 322B,— Pedagogical Preparation for Secondary Social Science II,(3 units),"Course Description: Intermediate teaching methods and curriculum approaches for secondary social science teaching. Interdisciplinary approaches to teaching major themes across social science content areas; teaching potentially controversial social science topics; teaching democratic civic values, student assessment and evaluation.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 323A,— Physical Science in the Secondary School,(3 units),"Course Description: Activity-based overview of concepts and processes in secondary school physical sciences. Emphasis upon philosophy, appropriate teaching methods, materials, assessment and evaluation of learning.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 323B,— Life Sciences in the Secondary School,(3 units),"Course Description: Activity-based overview of concepts and processes in secondary school biology and life sciences. Emphasis on philosophy, appropriate teaching methods, materials, assessment and evaluation of learning, and issues.",Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 324A,— Methods & Technology in Secondary Mathematics I,(4 units),"Course Description: Introduction to methods and curriculum for teaching mathematics at the secondary level. Introduction to applications of computer technology as instructional, intellectual, and communication tools for mathematics teachers.",Prerequisite(s): Consent of instructor. Acceptance in Teacher Credential Program.
EDU 324B,— Methods in Secondary Mathematics II,(3 units),"Course Description: Expansion of methods and curriculum for teaching mathematics at the secondary level. Intermediate applications of computer technology as instructional, intellectual, and communication tools in mathematics teaching.",Prerequisite(s): Consent of instructor. Acceptance in Teacher Credential Program.
EDU 325,— Research & Methods in Secondary English Language Arts,(4 units),"Course Description: Research on teaching and learning in the language arts. Principles, procedures and materials for improving the writing, reading and oral language of secondary students, with special attention to students from culturally and linguistically diverse populations.",Prerequisite(s): Consent of instructor. Acceptance in Teacher Credential Program.
EDU 326,— Teaching Language Minority Students in Secondary Schools: Methods & Research,(4 units),"Course Description: Research on principles, procedures and curricula for teaching discipline-specific concepts to language-minority students in secondary schools. Second-language acquisition principles and instructional strategies.",Prerequisite(s): Consent of instructor. Acceptance in Teacher Credential Program.
EDU 327A,"— Teaching Methods for Secondary Foreign Language/Spanish, Part I",(3 units),Course Description: Introduction to methods for teaching Spanish as a foreign and a heritage language in secondary schools. State and National Standards. Theories on second language acquisition. Lesson plans. Effective teaching strategies and class management.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 327B,"— Teaching Methods for Secondary Foreign Language/Spanish, Part II",(3 units),Course Description: Continuation to methods for teaching Spanish as a foreign and a heritage language in secondary schools. Research and practice on foreign and heritage language teaching. Expansion of effective teaching strategies and class management.,Prerequisite(s): Acceptance in Teacher Credential Program.
EDU 380,— Active Literacy Academyo—The UK Experience,(2 units),Course Description: One-week introduction to the teaching of dense text for teachers of grades K-12. Examination of Shakespeare’s canon and immersion in active classroom practices that deepen engagement and understanding of key themes that transcend content areas.,Prerequisite(s): Consent of Instructor; consent of instructor based on selection/application process of participants.
EDU 398,— Group Study,(1-5 units),Course Description: Group study.,Prerequisite(s): Consent of instructor.
EDU 399,— Individual Study,(1-5 units),Course Description: Individual study.,Prerequisite(s): Consent of instructor.
EAP 001,— Global Thinking,(4 units),"Course Description: Global perspectives on challenges facing our planet and humanity in historical and contemporary contexts. Understanding transnational systems’ impacts and roles in generating equitable solutions. Global diversity and global action on climate, migration, public health, food/water, inequality, and more.",
EAP 090X,— International Education Seminar,(1 unit),"Course Description: Seminar examines the academic, cultural, and personal issues of study abroad, including academic programs abroad, country-specific history and culture, cross-cultural experiences, culture shock, racial and gender issues.",Prerequisite(s): Open to lower division applicants for EAP or UC Davis study abroad and international internship programs.
EAP 180,— Education Abroad: Special Topics,(1-12 units),Course Description: Students who participate in approved international programs take this course up to 12 units while studying abroad.,Prerequisite(s): Minimum GPA requirement for each study abroad program as specified in the written agreement between UC Davis and the host institution; prerequisites for language courses may also apply.
EAP 190X,— International Education Seminar,(1 unit),"Course Description: Seminar examines the academic, cultural, and personal issues of study abroad, including academic programs abroad, country-specific history and culture, cross-cultural experiences, culture shock, racial and gender issues.",Prerequisite(s): Open to upper division applicants for EAP or UC Davis study abroad and international internship programs.
EAP 192,— Internship in Education Abroad,(1-12 units),"Course Description: Internship with Education Abroad program, potentially either at university or taught abroad.",Prerequisite(s): Participation in a study abroad program.
EEC 001,— Introduction to Electrical & Computer Engineering,(1 unit),"This version has ended; see updated course, below.Course Description: Introduction to Electrical & Computer Engineering with focus on sub-disciplines of Electrical & Computer Engineering, engineering design, and problem solving. Microcontrollers, analog circuits, signal processing, and communications links. Application of topics to create a functional device.",
EEC 007,— Introduction to Programming & Microcontrollers,(4 units),Course Description: Programming computers using C/C++ languages. Software engineering and object-oriented design. Programming for hardware devices.,
EEC 010,— Introduction to Digital & Analog Systems,(4 units),"This version has ended; see updated course, below.Course Description: Interactive and practical introduction to fundamental concepts of electrical and computer engineering by implementing electronic systems, which can be digitally controlled and interrogated, with a programmable microcontroller with the ability to program the electrical connections between analog and digital components.",Prerequisite(s): (PHY 009C (can be concurrent) or PHY 009HD (can be concurrent)); (ECS 030 or ECS 036B or EEC 007); ENG 017; consent of instructor.
EEC 018,— Digital Systems I,(5 units),"Course Description: Introduction to digital system design including combinational logic design, sequential and asynchronous circuits, computer arithmetic, memory systems and algorithmic state machine design; computer aided design (CAD) methodologies and tools.",Prerequisite(s): ENG 017.
EEC 089A,— Special Topics in Electromagnetics,(1-5 units),Course Description: Special topics in Electromagnetics.,Prerequisite(s): Consent of instructor.
EEC 089B,— Special Topics in Physical Electronics,(1-5 units),Course Description: Special topics in Physical Electronics.,Prerequisite(s): Consent of instructor.
EEC 089C,— Special Topics in Active & Passive Circuits,(1-5 units),Course Description: Special topics in Active & Passive Circuits.,Prerequisite(s): Consent of instructor.
EEC 089D,— Special Topics in Signals & Systems,(1-5 units),Course Description: Special topics in Signals & Systems.,Prerequisite(s): Consent of instructor.
EEC 089E,— Special Topics in Computer Systems & Software,(1-5 units),Course Description: Special topics in Computer Systems & Software.,Prerequisite(s): Consent of instructor.
EEC 089F,— Special Topics in Digital System Design,(1-5 units),Course Description: Special topics in Digital System Design.,Prerequisite(s): Consent of instructor.
EEC 090C,— Research Group Conference in Electrical & Computer Engineering,(1 unit),Course Description: Research group conferences.,Prerequisite(s): Consent of instructor. Lower division standing.
EEC 090X,— Lower Division Seminar,(1-4 units),Course Description: Examination of a special topic in a small group setting.,Prerequisite(s): Consent of instructor.
EEC 092,— Internship in Electrical & Computer Engineering,(1-5 units),Course Description: Supervised work experience in Electrical & Computer Engineering.,Prerequisite(s): Lower division standing; project approval prior to period of internship.
EEC 098,— Directed Group Study,(1-5 units),Course Description: Directed group study.,Prerequisite(s): Consent of instructor.
EEC 099,— Special Study for Lower Division Students,(1-5 units),Course Description: Special study for lower division students.,
EEC 100,— Circuits II,(5 units),"Course Description: Theory, application, and design of analog circuits. Methods of analysis including frequency response, SPICE simulation, and Laplace transform. Operational amplifiers and design of active filters.",Prerequisite(s): ENG 017 C- or better; (MAT 022B or MAT 027B).
EEC 105A,— EE-Emerge 1,(1 unit),"Course Description: Work in groups to conceive, design and prototype electronic exhibits to promote engineering to the public.",
EEC 105B,— EE-Emerge 2,(2 units),Course Description: Work in groups to construct electronic exhibits.,
EEC 105C,— EE-Emerge 3,(1 unit),Course Description: Work in groups to present electronic exhibits to the public.,Prerequisite(s): EEC 105B.
EEC 110A,— Electronic Circuits I,(4 units),"This version has ended; see updated course, below.Course Description: Use and modeling of nonlinear solid-state electronic devices in basic analog and digital circuits. Introduction to the design of transistor amplifiers and logic gates.",Prerequisite(s): EEC 100; EEC 140A (can be concurrent).
EEC 110B,— Electronic Circuits II,(4 units),"Course Description: Analysis and design of integrated circuits. Single-stage amplifiers, cascaded amplifier stages, differential amplifiers, current sources, frequency response, and return-ratio analysis of feedback amplifiers.",Prerequisite(s): EEC 110A.
EEC 111,— Digital Electronic Circuits,(4 units),"This version has ended; see updated course, below.Course Description: MOS device fundamentals, introduction to the design of CMOS logic gates, layout, circuits, and modeling. Examination of voltage transfer characteristics, and propagation delay.",Prerequisite(s): EEC 100.
EEC 112,— Communication Electronics,(4 units),"This version has ended; see updated course, below.Course Description: Electronic circuits for analog and digital communication, including oscillators, mixers, tuned amplifiers, modulators, demodulators, and phase-locked loops. Circuits for amplitude modulation (AM) and frequency modulation (FM) are emphasized.",Prerequisite(s): EEC 110A; EEC 150A; EEC 110B recommended.
EEC 113,— Power Electronic Circuits,(4 units),"This version has ended; see updated course, below.Course Description: Electronic circuits for power applications, including linear voltage regulators, switching DC-DC converters, DC-AC converters (inverters) and AC-DC converters (rectifiers). Control loop and stability of circuits.",
EEC 116,— VLSI Design,(4 units),"Course Description: CMOS devices, layout, circuits, and functional units; VLSI fabrication and design methodologies.",Prerequisite(s): EEC 110A or EEC 111; EEC 018 or 180A recommended.
EEC 118,— Digital Integrated Circuits,(4 units),"Course Description: Analysis and design of digital integrated circuits. Emphasis on MOS logic circuit families. Logic gate construction, voltage transfer characteristics, propagation delay, and power consumption. Regenerative circuits, sequential elements, interconnect, RAMs, ROMs, and PLAs.",Prerequisite(s): EEC 110A; (EEC 018 or EEC 180A).
EEC 119A,— Integrated Circuit Design Project,(3 units),"Course Description: Design course involving architecture, circuit design, physical design, and validation through extensive simulation of a digital or mixed-signal integrated circuit of substantial complexity under given design constraints. Team project that includes a final report.",Prerequisite(s): EEC 116 or EEC 118.
EEC 119B,— Integrated Circuit Design Project,(3 units),"Course Description: Design course involving architecture, circuit design, physical design, and validation through extensive simulation of a digital or mixed-signal integrated circuit of substantial complexity under given design constraints. Team project that includes a final report.",Prerequisite(s): EEC 119A.
EEC 130A,— Electromagnetics I,(4 units),Course Description: Basics of static electric and magnetic fields and fields in materials. Work and scalar potential. Maxwell's equations in integral and differential form. Plan waves in lossless media. Lossless transmission lines.,Prerequisite(s): MAT 021D; (PHY 009C or PHY 009HD); ENG 017.
EEC 130B,— Introductory Electromagnetics II,(4 units),"Course Description: Plane wave propagation in lossy media, reflections, guided waves, simple modulated waves and dispersion, and basic antennas.",Prerequisite(s): EEC 130A.
EEC 132A,— RF & Microwaves in Wireless Communication,(5 units),"Course Description: Study of Radio Frequency and Microwave theory and practice for design of wireless electronic systems. Transmission lines, microwave integrated circuits, circuit analyis of electromagnetic energy transfer systems, the scattering parameters.",Prerequisite(s): EEC 110A; EEC 130B.
EEC 132B,— RF & Microwaves in Wireless Communication,(5 units),"Course Description: Passive RF and microwave device analysis, design, fabrication, and testing for wireless applications. RF and microwave filter and coupler design. Introductory analysis and design of RF and microwave transistor amplifiers.",Prerequisite(s): EEC 132A.
EEC 132C,— RF & Microwaves in Wireless Communications,(5 units),"Course Description: RF and microwave amplifier theory and design, including transistor circuit models, stability considerations, noise models and low noise design. Theory and design of microwave transistor oscillators and mixers. Wireless system design and analysis.",Prerequisite(s): EEC 132B.
EEC 133,— Electromagnetic Radiation & Antenna Analysis,(4 units),"Course Description: Properties of electromagnetic radiation; analysis and design of antennas: ideal, small loop, aperture, and arrays; antenna simulations/measurements.",Prerequisite(s): EEC 130B.
EEC 134A,— RF/Microwave Systems Design,(3 units),"Course Description: Board-level RF design, fabrication, and characterization of an RF/microwave system, including the antenna, RF front-end, baseband, mix-signal circuits, and digital signal processing models.",Prerequisite(s): EEC 130B or EEC 110B or EEC 150A.
EEC 134B,— RF/Microwave Systems Design,(3 units),"Course Description: Board-level RF design, fabrication, and characterization of an RF/microwave system, including the antenna, RF front-end, baseband, mix-signal circuits, and digital signal processing models.",Prerequisite(s): EEC 134A.
EEC 135,— Optoelectronics for High-Speed Data Networking & Computing Systems,(4 units),"Course Description: Principles of optical communication systems. Planar dielectric waveguides. Optical fibers. Silicon photonics. Attenuation and dispersion in optical fibers. Optical sources, detectors, transmitters, receivers, modulators, optical amplifiers, and optical multiplexers/demultiplexers. Optics in data centers and computing systems. Design of digital optical communication links.",Prerequisite(s): EEC 130B.
EEC 136A,— Electronic Design Project,(3 units),"This version has ended; see updated course, below.Course Description: Optical, electronic and communication-engineering design of an opto-electronic system operating under performance and economic constraints. Measurement techniques will be designed and implemented, and the system will be characterized.",Prerequisite(s): (ECS 036B or EEC 007); EEC 018; EEC 100; (EEC 110B or EEC 180 or EEC 157A (can be concurrent)).
EEC 136B,— Electronic Design Project,(3 units),"Course Description: Optical, electronic and communication-engineering design of an opto-electronic system operating under performance and economic constraints. Measurement techniques will be designed and implemented, and the system will be characterized.",Prerequisite(s): EEC 136A.
EEC 140A,— Principles of Device Physics I,(4 units),"Course Description: Semiconductor device fundamentals, equilibrium and non-equilibrium statistical mechanics, conductivity, diffusion, electrons and holes, p-n and Schottky junctions, first-order metal-oxide-semiconductor (MOS) field effect transistors, bipolar junction transistor fundamentals.",Prerequisite(s): ENG 017 (can be concurrent); (PHY 009D or PHY 009HE).
EEC 140AV,— Principles of Device Physics I,(4 units),"Course Description: Semiconductor device fundamentals, equilibrium and non-equilibrium statistical mechanics, conductivity, diffusion, electrons and holes, p-n and Schottky junctions, first-order metal-oxide-semiconductor (MOS) field effect transistors, bipolar junction transistor fundamentals.",Prerequisite(s): ENG 017 (can be concurrent); (PHY 009D or PHY 009HE).
EEC 140B,— Principles of Device Physics II,(4 units),"This version has ended; see updated course, below.Course Description: Electrical properties, designs, models and advanced concepts for MOS, Bipolar, and Junction Field-Effect Transistors, including scaling, minority-carrier distributions, non-ideal effects, and device fabrication methods. MESFET and heterojunction bipolar transistors (HBTs). Fundamentals of solar cells, photodetectors, LEDs and semiconductor lasers.",Prerequisite(s): EEC 140A.
EEC 145,— Electronic Materials,(4 units),"This version has ended; see updated course, below.Course Description: Electronic and physical properties of materials used in electronics, ICs, optoelectronics and MEMS. Semiconductors, dielectrics, metals, optical materials, organic semiconductive, optical and nonlinear properties, as well as their synthesis and deposition methods.",Prerequisite(s): EEC 140A.
EEC 146A,— Integrated Circuits Fabrication,(4 units),"This version has ended; see updated course, below.Course Description: Theoretical and experimental study of basic fabrication processes for metal oxide semiconductor integrated circuits, including oxidation, photolithography, impurity diffusion, metallization, wet chemical etching, and characterization.",Prerequisite(s): EEC 140A.
EEC 146B,— Advanced Integrated Circuits Fabrication,(3 units),"Course Description: Fabrication processes for CMOS VLSI. Laboratory projects examine deposition of thin films, ion implantation, process simulation, anisotropic plasma etching, sputter metallization, and C-V analysis. Topics include isolation, projection alignment, epilayer growth, thin gate oxidation, and rapid thermal annealing.",Prerequisite(s): EEC 146A.
EEC 150,—  Introduction to Signals & Systems,(4 units),"This version has ended; see updated course, below.Course Description: Characterization and analysis of continuous-time linear systems. Fourier series and transforms with applications. Introduction to communication systems. Transfer functions and block diagrams. Elements of feedback systems. Stability of linear systems.",Prerequisite(s): EEC 100.
EEC 151,— Digital Signals & Systems,(4 units),Course Description: Characterization and analysis of discrete time systems. Difference equation models. Z-transform analysis methods. Frequency Analysis. Discrete and fast Fourier transforms. Digital Filtering.,Prerequisite(s): EEC 100.
EEC 152,— Digital Signal Processing,(4 units),"Course Description: Theory and practice of real-time digital signal processing. Fundamentals of real-time systems. Programmable architectures including I/O, memory, peripherals, interrupts, DMA. Interfacing issues with A/D and D/A converters to a programmable DSP. Specification driven design and implementation of simple DSP applications.",Prerequisite(s): EEC 150B; (EEC 070 or ECS 050).
EEC 157A,— Control Systems,(4 units),"Course Description: Analysis and design of feedback control systems. Examples are drawn from electrical and mechanical systems as well as other engineering fields. Mathematical modeling of systems, stability criteria, root-locus and frequency domain design methods.",Prerequisite(s): EEC 100.
EEC 157AV,— Control Systems,(4 units),"Course Description: Analysis and design of feedback control systems. Examples drawn from electrical and mechanical systems as well as other engineering fields. Mathematical modeling of systems, stability criteria, root-locus and frequency domain design methods.",Prerequisite(s): EEC 100.
EEC 157B,— Control Systems,(4 units),"This version has ended; see updated course, below.Course Description: Control system design; transfer-function and state-space methods; sampled-data implementation, digital control. Laboratory includes feedback system experiments and simulation studies.",Prerequisite(s): EEC 157A.
EEC 157BY,— Control Systems,(4 units),"Course Description: Control system design; transfer-function and state-space methods; sampled-data implementation, digital control. Laboratory includes feedback system experiments and simulation studies.",Prerequisite(s): EEC 157A or EEC 157AV.
EEC 160,— Signal Analysis & Communications,(4 units),"This version has ended; see updated course, below.Course Description: Signal analysis based on Fourier methods. Fourier series and transforms; time-sampling, convolution, and filtering; spectral density; modulation: carrier-amplitude, carrier-frequency, and pulse-amplitude.",Prerequisite(s): EEC 150A.
EEC 161,— Probabilistic Analysis of Electrical & Computer Systems,(4 units),"This version has ended; see updated course, below.Course Description: Probabilistic and statistical analysis of electrical and computer systems. Discrete and continuous random variables, expectation and moments. Transformation of random variables. Joint and conditional densities. Limit theorems and statistics. Noise models, system reliability and testing.",Prerequisite(s): EEC 100; (ENG 006 or MAT 022AL).
EEC 165,— Statistical & Digital Communication,(4 units),"Course Description: Introduction to random process models of modulated signals and noise, and analysis of receiver performance. Analog and digitally modulated signals. Signal-to-noise ratio, probability of error, matched filters. Intersymbol interference, pulse shaping and equalization. Carrier and clock synchronization.",Prerequisite(s): EEC 160; EEC 161.
EEC 170,— Introduction to Computer Architecture,(4 units),"Course Description: Introduces basic aspects of computer architecture, including computer performance measurement, instruction set design, computer arithmetic, pipelined/non-pipelined implementation, and memory hierarchies (cache and virtual memory). Presents a simplified Reduced Instruction Set Computer using logic design methods from the prerequisite course.",Prerequisite(s): (ECS 036B or ECS 030 or ECS 034 or EEC 007); (EEC 018 or EEC 180A).
EEC 171,— Parallel Computer Architecture,(4 units),"Course Description: Organization and design of parallel processors including shared-memory multiprocessors, cache coherence, memory consistency, snooping protocols, synchronization, scalable multiprocessors, message passing protocols, distributed shared memory and interconnection networks.",Prerequisite(s): EEC 170 or ECS 154B.
EEC 172,— Embedded Systems,(4 units),"Course Description: Introduction to embedded-system hardware and software. Topics include: embedded processor and memory architecture; input/output hardware and software, including interrupts and direct memory access; interfacing with sensors and actuators; wired and wireless embedded networking.",Prerequisite(s): (EEC 170 or ECS 154A); EEC 100.
EEC 173A,— Computer Networks,(4 units),"Course Description: Overview of computer networks, TCP/IP protocol suite, computer-networking applications and protocols, transport-layer protocols, network architectures, Internet Protocol (IP), routing, link-layer protocols, local area and wireless networks, medium access control, physical aspects of data transmission, and network-performance analysis.",Prerequisite(s): (ECS 060 or ECS 032B or ECS 036C); (ECS 132 or EEC 161 or MAT 135A or STA 131A or STA 120 or STA 032).
EEC 173B,— Advanced Topics in Computer Networks,(4 units),"Course Description: Advanced topics in computer networks, wireless networks, multimedia networking, traffic analysis and modeling, network design and management, network simulation and performance analysis, and design projects in communication networks.",Prerequisite(s): EEC 173A or ECS 152A.
EEC 174AY,— Applied Machine Learning,(3 units),"Course Description: Applied machine learning (ML) and deep learning (DL) in engineering systems. Design and evaluation of components that are critical to artificial intelligence (AI) driven control systems, including but not limited to sensor fusion, feature engineering, computer vision (semantic segmentation, objection detection), ML based classification, and learning-based control systems. Team project including a final presentation and report.",Prerequisite(s): ENG 006 or MAT 022AL); (EEC 007 or ECS 036B); (EEC 161 or EEC 151 or ECS 036C).
EEC 174BY,— Applied Machine Learning Senior Design Projects,(3 units),"Course Description: Design, development, and evaluation of components that are critical to artificial intelligence (AI) driven control systems. Team project including a final presentation and report. Example design themes include but not limited to self-driving cars, smart healthcare, and precision agriculture.",Prerequisite(s): EEC 174AY.
EEC 175A,— Internet of Things,(3 units),"Course Description: Introduction to principles, technologies, challenges, and required expertise to build the Internet of Things (IoT) solutions. Sensing, computing, wireless communication, IP communication, and cloud processing for building an IoT solution.",Prerequisite(s): EEC 018; (EEC 111 or EEC 110A).
EEC 175B,— Internet of Things Senior Design Project,(3 units),"Course Description: Propose and design a senior IoT design project, using the design principles they have studied in the prerequisite course, Internet of Things.",Prerequisite(s): EEC 175A.
EEC 180,— Digital Systems II,(5 units),"Course Description: Computer-aided design of digital systems with emphasis on hardware description languages (VHDL), logic synthesis, and field-programmable gate arrays (FPGA). May cover advanced topics in digital system design such as static timing analysis, pipelining, memory system design, testing digital circuits.",Prerequisite(s): EEC 018 or EEC 180A.
EEC 181A,— Digital Systems Design Project,(3 units),"Course Description: Digital-system and computer-engineering design course involving architecture, design, implementation and testing of a prototype application-specific processor under given design constraints. Team project includes a final presentation and report.",Prerequisite(s): (EEC 180 or EEC 180B); EEC 170.
EEC 181B,— Digital Systems Design Project,(3 units),"Course Description: Digital-system and computer-engineering design course involving architecture, design, implementation and testing of a prototype application-specific processor under given design constraints. Team project includes a final presentation and report.",Prerequisite(s): EEC 181A.
EEC 183,— Testing & Verification of Digital Systems,(5 units),Course Description: Computer aided-testing and design verification techniques for digital systems; physical fault testing; simulation-based design verification; formal verification; timing analysis.,Prerequisite(s): EEC 170; EEC 180B.
EEC 189A,— Special Topics in Electrical Engineering & Computer Science: Computer Science,(1-5 units),Course Description: Special topics in Computer Science.,Prerequisite(s): Consent of instructor.
EEC 189B,— Special Topics in Electrical Engineering & Computer Science: Programming Systems,(1-5 units),Course Description: Special topics in Programming Systems.,Prerequisite(s): Consent of instructor.
EEC 189C,— Special Topics in Electrical Engineering & Computer Science: Digital Systems,(1-5 units),Course Description: Special topics in Digital Systems.,Prerequisite(s): Consent of instructor.
EEC 189D,— Special Topics in Electrical Engineering & Computer Science: Communications,(1-5 units),Course Description: Special topics in Communications.,Prerequisite(s): Consent of instructor.
EEC 189E,— Special Topics in Electrical Engineering & Computer Science: Signal Transmission,(1-5 units),Course Description: Special topics in Signal Transmission.,Prerequisite(s): Consent of instructor.
EEC 189F,— Special Topics in Electrical Engineering & Computer Science: Digital Communication,(1-5 units),Course Description: Special topics in Digital Communication.,Prerequisite(s): Consent of instructor.
EEC 189G,— Special Topics in Electrical Engineering & Computer Science: Control Systems,(1-5 units),Course Description: Special topics in Control Systems.,Prerequisite(s): Consent of instructor.
EEC 189H,— Special Topics in Electrical Engineering & Computer Science: Robotics,(1-5 units),Course Description: Special topics in Robotics.,Prerequisite(s): Consent of instructor.
EEC 189I,— Special Topics in Electrical Engineering & Computer Science: Signal Processing,(1-5 units),Course Description: Special topics in Signal Processing.,Prerequisite(s): Consent of instructor.
EEC 189J,— Special Topics in Electrical Engineering & Computer Science: Image Processing,(1-5 units),Course Description: Special topics in Image Processing.,Prerequisite(s): Consent of instructor.
EEC 189K,— Special Topics in Electrical Engineering & Computer Science: High-Frequency Phenomena & Devices,(1-5 units),Course Description: Special topics in High-Frequency Phenomena & Devices.,Prerequisite(s): Consent of instructor.
EEC 189L,— Special Topics in ECS: Solid-State Devices & Physical Electronics,(1-5 units),Course Description: Special topics in Solid-State Devices & Physical Electronics.,Prerequisite(s): Consent of instructor.
EEC 189M,— Special Topics in Electrical Engineering & Computer Science: Systems Theory,(1-5 units),Course Description: Special topics in Systems Theory.,Prerequisite(s): Consent of instructor.
